mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.0012464553948340062,0.0015830899302708879,0.13339302857741975,0.9949996197680626,LinearRegression,A,60,12
0.0033719274215373574,0.003761507952792354,0.363402269570285,0.9717696784134062,Ridge,A,60,12
0.0023664965326632517,0.002801528128800211,0.256050441787516,0.9843403579219138,RandomForest,A,60,12
0.002448549178232645,0.002707829825724283,0.26311474751571445,0.9853703279160594,GradientBoosting,A,60,12
0.003298489751507381,0.004233173868973279,0.3621565759742959,0.9753715424261273,LinearRegression,B,60,12
0.004381270746518839,0.0048831571036179675,0.477295118932047,0.9672277398014986,Ridge,B,60,12
0.003030415946157744,0.003460349963490169,0.328829163540309,0.9835432130189656,RandomForest,B,60,12
0.00356789845441031,0.00419600659223325,0.3887960427845402,0.9758021196900393,GradientBoosting,B,60,12
0.003456494030331464,0.003962149087748074,0.369452972301758,0.9554686638025183,LinearRegression,C,60,12
0.0038501224188746777,0.004114418256197592,0.4076354467843089,0.9519801303245425,Ridge,C,60,12
0.0026868875557569762,0.0029135383772997724,0.28634104443371095,0.9759206041440345,RandomForest,C,60,12
0.001656907289184791,0.002079573669949352,0.1763830891700599,0.9877325945172795,GradientBoosting,C,60,12
0.01239727210985278,0.013205472335278261,1.3188399282053593,0.670528570387959,LinearRegression,D,60,12
0.002921016017674777,0.0034433291906720205,0.3125857621693826,0.9775990225171807,Ridge,D,60,12
0.002557554092156633,0.003099414635908737,0.270234328530253,0.9818503088167094,RandomForest,D,60,12
0.0018061310061388187,0.0022839413659843004,0.19147604710381103,0.9901444745976701,GradientBoosting,D,60,12
0.004570375953724171,0.004883648677974901,0.4913556378517573,0.9546159271377203,LinearRegression,E,60,12
0.0031553014587439865,0.0039227483997146696,0.338774095617178,0.9707183498323486,Ridge,E,60,12
0.0020011879694905124,0.002419012741553877,0.21396563502317784,0.9888649812736164,RandomForest,E,60,12
0.0019000176585399209,0.0024606092035982328,0.20355531498054977,0.9884787413083723,GradientBoosting,E,60,12
0.0017221329209621272,0.0021212033297045526,0.18779729531508682,0.9929442633486392,LinearRegression,F,60,12
0.0020984612126484594,0.0024266292525928867,0.2282213258814086,0.9907661116353792,Ridge,F,60,12
0.002523210688316624,0.0029415063644266004,0.27482613836890407,0.9864319527525223,RandomForest,F,60,12
0.0023440100702255737,0.002818677989143935,0.25619129478570035,0.9875414158279683,GradientBoosting,F,60,12
