model,mae,rmse,mape,r2
GradientBoosting,0.00228725227612201,0.0027577731077722254,0.24658608939006263,0.985844945642898
RandomForest,0.0025276254640902904,0.002939225035246561,0.2717077919473118,0.9834919029879603
Ridge,0.003296349879333016,0.003758631692597915,0.354652336492435,0.9716768387540592
LinearRegression,0.0044485366935353215,0.004998122871658326,0.4771659063709462,0.9239880978118378
