mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.0018625701057995102,0.002405678368291439,0.1996731401798285,0.9789028007951579,LinearRegression,A,50,10
0.006469528025973848,0.008052673741473242,0.7027385948160914,0.7636095730627134,Ridge,A,50,10
0.004254629894509243,0.005693401431177871,0.46349893717593255,0.8818337945065939,RandomForest,A,50,10
0.0036959995554816326,0.005496067450325008,0.40407698161908073,0.8898831485041687,GradientBoosting,A,50,10
0.0026416466025862783,0.003190914898692566,0.2882874214702608,0.9756186629101329,LinearRegression,B,50,10
0.010119800437624527,0.010507059469418415,1.1059773451466226,0.7356438269906674,Ridge,B,50,10
0.005049282644124853,0.005775438419253247,0.5542341915283172,0.9201275528775461,RandomForest,B,50,10
0.005123961393879328,0.005943704646251127,0.5624804560204031,0.9154056191413902,GradientBoosting,B,50,10
0.003226753016171413,0.003995149889617391,0.34501636213843934,0.9134988524572245,LinearRegression,C,50,10
0.015160377673069625,0.01541548635653452,1.622952176802932,-0.28786451125860246,Ridge,C,50,10
0.007294193897613255,0.007465774271801536,0.7808613913782738,0.6979315110197445,RandomForest,C,50,10
0.007131408509975101,0.007365654120359968,0.7632280001971854,0.7059789962916367,GradientBoosting,C,50,10
0.005852907835292298,0.006683459609993374,0.6289288298430408,0.8698080914379334,LinearRegression,D,50,10
0.009136616167739364,0.011881998130767357,0.9876270193886018,0.5885090412135514,Ridge,D,50,10
0.0037905375754318403,0.004562955706962876,0.40186069976219185,0.9393160496882731,RandomForest,D,50,10
0.003244161203904983,0.003599587099924286,0.34654385984073505,0.9622352415307263,GradientBoosting,D,50,10
0.0030414200694423798,0.003851637942710944,0.3320188145443165,0.9475942077694269,LinearRegression,E,50,10
0.003924919876014765,0.004439408972427695,0.42622085818080374,0.9303792513627104,Ridge,E,50,10
0.0031935992570419347,0.004286074057975192,0.34571578126631763,0.935105525534694,RandomForest,E,50,10
0.002584043295317828,0.003957049036567532,0.2801317984131748,0.9446864869095601,GradientBoosting,E,50,10
0.004050408023636709,0.004973572438931273,0.4377154320617465,0.9251201236600782,LinearRegression,F,50,10
0.0035162403307527623,0.004591969291928213,0.3797642276420655,0.9361698046875029,Ridge,F,50,10
0.00466577288775275,0.005156373146685003,0.5102036870524618,0.9195146384835202,RandomForest,F,50,10
0.005724149131369438,0.006303543798443969,0.6289648446763173,0.8797187943659127,GradientBoosting,F,50,10
