model,mae,rmse,mape,r2
LinearRegression,0.003445950942154765,0.004183402191372831,0.37194000003960537,0.9350904565049923
GradientBoosting,0.004583953848321385,0.005444267691978648,0.4975709901278161,0.8829847144572325
RandomForest,0.004708002692745646,0.005490002838975955,0.5093957813605825,0.8823048453517286
Ridge,0.00805458041852915,0.009148099327091574,0.8708800369961862,0.6110744976764239
