mae,rmse,mape,r2,model,test_cell,n_train,n_test,feature_set
0.007436257852423596,0.009500637486310878,0.7837735613415183,0.8199067850530949,Persistence,A,60,12,persistence
0.008714245404044538,0.010121468061180097,0.9260296031659504,0.8592034482577943,Persistence,B,60,12,persistence
0.006825423128005918,0.008470668165116617,0.7159379856554238,0.7964648423421611,Persistence,C,60,12,persistence
0.007498032518814933,0.008947289802101313,0.7900150241497499,0.8487508684850928,Persistence,D,60,12,persistence
0.00877642763183184,0.01076635793309071,0.9336624994226619,0.7794270416380511,Persistence,E,60,12,persistence
0.009029863460700893,0.011071327672463606,0.9624249532144219,0.8077894720679379,Persistence,F,60,12,persistence
0.011390701011576595,0.012187937890045178,1.2207535781516157,0.7036176607279614,LinearRegression,A,60,12,process_only
0.00411383122829125,0.005050684574664492,0.44364415629364495,0.9491029805846392,Ridge,A,60,12,process_only
0.0033040321872468137,0.0039024344440159115,0.35661732017606385,0.9696147307470961,RandomForest,A,60,12,process_only
0.0025559088151572615,0.0032613583594212504,0.27577252383935175,0.978777873423497,GradientBoosting,A,60,12,process_only
0.04675430621344057,0.054318075609667685,5.1256954792603,-3.055027008283247,LinearRegression,B,60,12,process_only
0.012734373860177553,0.014069269473334901,1.3885683544306702,0.7279503970584859,Ridge,B,60,12,process_only
0.008846281310578722,0.010403610215813167,0.9702970641244584,0.851244461149413,RandomForest,B,60,12,process_only
0.007372413020757473,0.008850548330744118,0.8084313608753049,0.8923422357269671,GradientBoosting,B,60,12,process_only
0.01872821484967413,0.02147137212558168,2.0082492306239756,-0.30774689668710553,LinearRegression,C,60,12,process_only
0.011908423302106322,0.013316214347881857,1.2746608150081702,0.49700269874097514,Ridge,C,60,12,process_only
0.01136116293511157,0.012359512283147894,1.2154180901608806,0.5666819627469506,RandomForest,C,60,12,process_only
0.00878527483391863,0.009920156928906706,0.9411518533921859,0.7208477162439656,GradientBoosting,C,60,12,process_only
0.009725177198776774,0.010229344399439125,1.0363761336685708,0.8023005404532524,LinearRegression,D,60,12,process_only
0.007920660422318954,0.00856351306755871,0.8426129555460515,0.8614476773849871,Ridge,D,60,12,process_only
0.005035021161550736,0.00580309662339459,0.5336353161859101,0.9363747525454807,RandomForest,D,60,12,process_only
0.004354941191108704,0.0048509825227721435,0.46812991414996286,0.955540016131849,GradientBoosting,D,60,12,process_only
0.00259959859508054,0.003170008820974392,0.28015506361573644,0.9808779001625041,LinearRegression,E,60,12,process_only
0.003249549016424704,0.0038965498708222,0.35024110270487496,0.9711081655310628,Ridge,E,60,12,process_only
0.0030858461186167494,0.003402420580828021,0.33154714569742555,0.9779712104806735,RandomForest,E,60,12,process_only
0.004112801119609294,0.004612075898663597,0.4446340415882547,0.9595230732141227,GradientBoosting,E,60,12,process_only
0.012631697631899105,0.014241815868175361,1.386711555455746,0.681940409505974,LinearRegression,F,60,12,process_only
0.011095376219007682,0.011868145456228102,1.2107678605672607,0.7791265660534896,Ridge,F,60,12,process_only
0.010115703811710267,0.011058459945305046,1.1083588321035838,0.8082360084529508,RandomForest,F,60,12,process_only
0.007951254278013659,0.009163423135542904,0.8738537843338983,0.8683280567691591,GradientBoosting,F,60,12,process_only
0.008727926157120897,0.009761629546293117,0.9343690144374117,0.809876193386885,LinearRegression,A,60,12,process_plus_resistance
0.0038498240193901765,0.004975583083943921,0.4156503923924267,0.9506053602906125,Ridge,A,60,12,process_plus_resistance
0.0028777167468935216,0.003548942784363452,0.3106384780377708,0.974870152549259,RandomForest,A,60,12,process_plus_resistance
0.0018182433053082574,0.002296105777956656,0.1948637346618549,0.9894809713102263,GradientBoosting,A,60,12,process_plus_resistance
0.040235639332120925,0.046884498657456725,4.411849525956421,-2.02108923501584,LinearRegression,B,60,12,process_plus_resistance
0.011505875887282016,0.012970000237506022,1.2561692530425348,0.7688015231187536,Ridge,B,60,12,process_plus_resistance
0.00866099775960874,0.010226940450614747,0.9497489387481729,0.8562537728094309,RandomForest,B,60,12,process_plus_resistance
0.0076854697958933975,0.008996345466369987,0.8413733721667314,0.8887660782761487,GradientBoosting,B,60,12,process_plus_resistance
0.01752488009402713,0.02022594346693678,1.879464625556346,-0.160437296042518,LinearRegression,C,60,12,process_plus_resistance
0.011790145288068682,0.013316388144603614,1.2623532256719714,0.49698956890539203,Ridge,C,60,12,process_plus_resistance
0.011916266356375252,0.01283986221715728,1.2741184105060914,0.5323458128208118,RandomForest,C,60,12,process_plus_resistance
0.009867002673647698,0.010828138206480676,1.0555701783826927,0.6674080901349961,GradientBoosting,C,60,12,process_plus_resistance
0.006954398040437858,0.008173960164767397,0.7405039610522399,0.8737664154611204,LinearRegression,D,60,12,process_plus_resistance
0.014628997173482474,0.016197367834965545,1.5594835878104547,0.5043229963758862,Ridge,D,60,12,process_plus_resistance
0.005021595530262425,0.0056341968661522066,0.5324920708547597,0.9400244946004517,RandomForest,D,60,12,process_plus_resistance
0.004795058514888299,0.005703575027871868,0.5149544552369482,0.9385383523390471,GradientBoosting,D,60,12,process_plus_resistance
0.0034334802783481575,0.004616796285729848,0.3682623836990008,0.9594401758191998,LinearRegression,E,60,12,process_plus_resistance
0.0023619506966496284,0.0029851835364219435,0.25432195344515,0.9830426995339415,Ridge,E,60,12,process_plus_resistance
0.003052513756120978,0.0034082408470460183,0.3274207352506662,0.9778957800164118,RandomForest,E,60,12,process_plus_resistance
0.0042579219159764314,0.004799767584508516,0.461031865349211,0.9561615634936755,GradientBoosting,E,60,12,process_plus_resistance
0.01197060696714324,0.013508137100263527,1.3137180291689707,0.7138665165157404,LinearRegression,F,60,12,process_plus_resistance
0.009902141432604039,0.010923171742660692,1.0826309017639333,0.8128993542048146,Ridge,F,60,12,process_plus_resistance
0.009918870519254044,0.010894436371880863,1.087105915247022,0.8138824632785897,RandomForest,F,60,12,process_plus_resistance
0.007446752185683507,0.009067677767812544,0.8195126395493361,0.8710652687276788,GradientBoosting,F,60,12,process_plus_resistance
0.0022925851046204835,0.003206585695557171,0.2423069774313226,0.979484714817694,LinearRegression,A,60,12,capacity_only
0.0023216291955313237,0.003102201208259264,0.24538309791430948,0.9807986492006039,Ridge,A,60,12,capacity_only
0.002755072897421218,0.003320727367946972,0.29505394488678904,0.9779981955899218,RandomForest,A,60,12,capacity_only
0.002611619475271091,0.0032095065432274496,0.2787979475348913,0.9794473234489205,GradientBoosting,A,60,12,capacity_only
0.0028409437677806293,0.0035520766771609228,0.3078017882566564,0.9826591786171621,LinearRegression,B,60,12,capacity_only
0.0030299578097431057,0.0036822537232539714,0.3289689392197861,0.9813648702677851,Ridge,B,60,12,capacity_only
0.003521291279643161,0.0040262025581263615,0.3808701356004151,0.9777209718890473,RandomForest,B,60,12,capacity_only
0.0037429817789821538,0.004238146597517801,0.4049732476967222,0.9753136461189202,GradientBoosting,B,60,12,capacity_only
0.004325419048453978,0.00459383133033161,0.4581216122719648,0.9401375908296629,LinearRegression,C,60,12,capacity_only
0.004313039414515024,0.004667880528656153,0.45668852413896155,0.9381921602998122,Ridge,C,60,12,capacity_only
