mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.0012445598582113877,0.0016340022878410469,0.1330146483071225,0.9946728223813183,LinearRegression,A,60,12
0.003704672385218414,0.004136011694579165,0.3995113067687714,0.9658685001647208,Ridge,A,60,12
0.003108250314482012,0.0037410722217954624,0.337222355711496,0.9720755877125997,RandomForest,A,60,12
0.002782184917419004,0.0032197831462746607,0.300327894016302,0.9793154964295591,GradientBoosting,A,60,12
0.0015987546400432762,0.001900037713163628,0.17333160979262588,0.9950383120981972,LinearRegression,B,60,12
0.004833787982450276,0.005273790830813208,0.5256429825901142,0.9617747088315681,Ridge,B,60,12
0.0028625956472166834,0.0033017812917741957,0.31034228767748,0.9850169025052318,RandomForest,B,60,12
0.0037344277278722657,0.004355410628487292,0.4078636452110834,0.9739286683798368,GradientBoosting,B,60,12
0.003236251895094957,0.003746851653807167,0.3422103748677393,0.9601767135317644,LinearRegression,C,60,12
0.004533407991657116,0.004817992571465774,0.4807988350051566,0.9341529455278262,Ridge,C,60,12
0.002394474180047105,0.0026442406965095874,0.2552736470396265,0.9801661935689935,RandomForest,C,60,12
0.0017021397635538043,0.002278399934734422,0.18215443701652823,0.985274704477522,GradientBoosting,C,60,12
0.013876578000813497,0.014442406150154583,1.477084973787327,0.6059158308517789,LinearRegression,D,60,12
0.0026588911313822905,0.0029804561263889976,0.2842890732504619,0.983216777687924,Ridge,D,60,12
0.0026367198721597893,0.003084035543378779,0.27903779764618114,0.9820299771159733,RandomForest,D,60,12
0.0022985089025256513,0.002727689933140799,0.24365289901485135,0.9859427657275928,GradientBoosting,D,60,12
0.0073676299421612705,0.007893073620368776,0.7957426001027165,0.8814485290073907,LinearRegression,E,60,12
0.0027949949724960046,0.003589167118013398,0.3008706289531001,0.9754866875634971,Ridge,E,60,12
0.0022943459265273303,0.0027439091760797577,0.2458469818781643,0.985673038164161,RandomForest,E,60,12
0.0019511412179169056,0.0022895269697741534,0.20942645024695936,0.9900251547357587,GradientBoosting,E,60,12
0.0030073141706192983,0.003496498982848439,0.3265852126556066,0.9808290084866842,LinearRegression,F,60,12
0.0021065942375490068,0.0024633678549075676,0.22934151468276426,0.9904843972691887,Ridge,F,60,12
0.0025763618904057852,0.003051893992818591,0.2806763809647441,0.9853944925289655,RandomForest,F,60,12
0.002144645470853357,0.002311293388009439,0.23437545928915934,0.9916230115576047,GradientBoosting,F,60,12
