model,mae,rmse,mape,r2
GradientBoosting,0.002435508000023498,0.002863684000070128,0.2629667974658139,0.9843516335513124
RandomForest,0.002645457971806451,0.003094488820392729,0.28473324181961535,0.9817260319326541
Ridge,0.003438724783458851,0.003876797699361352,0.3700757235417281,0.9684973361741208
LinearRegression,0.005055181417823948,0.005518811734697274,0.541328236585523,0.9030135360595223
