mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.008546062532738185,0.009307337378366462,0.9216057077559205,0.6842083873632503,LinearRegression,A,50,10
0.0037324357597898873,0.004521454318703873,0.4041268617722058,0.9254743157207441,Ridge,A,50,10
0.002654025293747031,0.003161861427709805,0.28541680445394013,0.9635552191915181,RandomForest,A,50,10
0.0021806600423646795,0.0024475316680134074,0.23437093634240388,0.978162329089824,GradientBoosting,A,50,10
0.021628994321157634,0.023587305520646775,2.3747765308267796,-0.3322438994115875,LinearRegression,B,50,10
0.013013730481405384,0.013922644426512367,1.425766384742524,0.5358369781179677,Ridge,B,50,10
0.00938115541136476,0.010783752895267746,1.0329244988892392,0.7215373635217937,RandomForest,B,50,10
0.010132885007935022,0.011026199275187764,1.1118159466684712,0.7088755039551042,GradientBoosting,B,50,10
0.019493245808594406,0.02126686253360337,2.095182923953202,-1.4511086416223185,LinearRegression,C,50,10
0.01319781528402445,0.014147198268074073,1.4169238959443002,-0.08466741503224506,Ridge,C,50,10
0.01320194132687077,0.01390056440042458,1.4162612868056812,-0.04717817378097866,RandomForest,C,50,10
0.01165283460714105,0.012248342530462702,1.2483037629439437,0.1869629072824408,GradientBoosting,C,50,10
0.00820012332666662,0.009255642438987325,0.8820298786622875,0.7503138370132024,LinearRegression,D,50,10
0.0188946835249172,0.021636868957971386,2.0279986951820073,-0.3644894043398541,Ridge,D,50,10
0.005291889410747874,0.006160240541862562,0.5631690923285065,0.889394511253742,RandomForest,D,50,10
0.005315535410691086,0.006253317080626217,0.571521717660123,0.8860269319848261,GradientBoosting,D,50,10
0.003396623063968207,0.0036583794961726666,0.36744101258471606,0.9527212607798474,LinearRegression,E,50,10
0.0015237415397642562,0.0019439606319821986,0.16570615298552172,0.9866505519612739,Ridge,E,50,10
0.002430319063073261,0.0028833289731859998,0.2643013912093057,0.9706318378011993,RandomForest,E,50,10
0.00534704155571909,0.0063381047152721,0.5833980290949606,0.8580918957576285,GradientBoosting,E,50,10
0.013226100245758165,0.014686999844063384,1.4592391381910386,0.3470282332896133,LinearRegression,F,50,10
0.011207401969788344,0.01155462414195906,1.2292357170164887,0.5958525257321238,Ridge,F,50,10
0.011762880144349775,0.01266085210352669,1.295000843011503,0.5147627929045905,RandomForest,F,50,10
0.008386651648072719,0.009395510701132077,0.9247367165934346,0.7327799714037191,GradientBoosting,F,50,10
