mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.006517796695553395,0.007744766307718943,0.706206852483467,0.880323606707062,GradientBoosting,A,60,12
0.0036533112670804704,0.0039811144203711155,0.3953823090142022,0.9782171691010556,GradientBoosting,B,60,12
0.004339910014382313,0.0055541569161685084,0.4661684781745769,0.9124934844335888,GradientBoosting,C,60,12
0.0036685369583452365,0.004569991189469897,0.3879149939514982,0.9605414968392015,GradientBoosting,D,60,12
0.004895638746753315,0.00585940923061573,0.5325553222139248,0.934668549327289,GradientBoosting,E,60,12
0.002703918784231152,0.0031734301538225537,0.2941209304512311,0.9842080539879041,GradientBoosting,F,60,12
