mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.003697525006683744,0.003697525006683744,0.4059801803138181,,LinearRegression,A,5,1
0.004530259778044443,0.004530259778044443,0.4974126417628933,,Ridge,A,5,1
0.009601070785280053,0.009601070785280053,1.0541766293852997,,RandomForest,A,5,1
0.014852920622673293,0.014852920622673293,1.630818285658585,,GradientBoosting,A,5,1
0.021764905081880115,0.021764905081880115,2.429357952232642,,LinearRegression,B,5,1
0.01965904880609115,0.01965904880609115,2.1943062177729296,,Ridge,B,5,1
0.015574906964785473,0.015574906964785473,1.7384419526683588,,RandomForest,B,5,1
0.014852932199028612,0.014852932199028612,1.6578564811533498,,GradientBoosting,B,5,1
0.017489953666462332,0.017489953666462332,1.9050267285569804,,LinearRegression,C,5,1
0.017489953666462332,0.017489953666462332,1.9050267285569804,,Ridge,C,5,1
0.010172486004814463,0.010172486004814463,1.1079993752186479,,RandomForest,C,5,1
0.008071562861988069,0.008071562861988069,0.8791643069243956,,GradientBoosting,C,5,1
0.0078043784388125426,0.0078043784388125426,0.857601753953266,,LinearRegression,D,5,1
0.0078043784388125426,0.0078043784388125426,0.857601753953266,,Ridge,D,5,1
0.003387319313895243,0.003387319313895243,0.37222323437692406,,RandomForest,D,5,1
0.008070891009143488,0.008070891009143488,0.8868880897657037,,GradientBoosting,D,5,1
0.006426921512088124,0.006426921512088124,0.7183463257156398,,LinearRegression,E,5,1
0.007123186458178665,0.007123186458178665,0.7961688671622733,,Ridge,E,5,1
0.003742452905094118,0.003742452905094118,0.4182993815128638,,RandomForest,E,5,1
0.0030408674964551574,0.0030408674964551574,0.3398821642614027,,GradientBoosting,E,5,1
0.011640458563108469,0.011640458563108469,1.3055086327128018,,LinearRegression,F,5,1
0.012076046656647965,0.012076046656647965,1.3543610050948456,,Ridge,F,5,1
0.008882131514560077,0.008882131514560077,0.9961548599037405,,RandomForest,F,5,1
0.003041527772944641,0.003041527772944641,0.3411154932331656,,GradientBoosting,F,5,1
