mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.017702804289223772,0.017702804289223772,1.943729295787834,,LinearRegression,A,5,1
0.016512430872326123,0.016512430872326123,1.8130288911768266,,Ridge,A,5,1
0.00659839024045572,0.00659839024045572,0.7244888553177742,,RandomForest,A,5,1
0.007971476544058387,0.007971476544058387,0.8752507363369398,,GradientBoosting,A,5,1
0.11655518560186529,0.11655518560186529,13.00967157681642,,LinearRegression,B,5,1
0.11258890900750107,0.11258890900750107,12.56696320988241,,Ridge,B,5,1
0.010279119382147428,0.010279119382147428,1.147336058623942,,RandomForest,B,5,1
0.009519380915240738,0.009519380915240738,1.0625354734960344,,GradientBoosting,B,5,1
0.035924089253611124,0.035924089253611124,3.9128948842457567,,LinearRegression,C,5,1
0.034573402658971686,0.034573402658971686,3.765776480517464,,Ridge,C,5,1
0.018170872413368122,0.018170872413368122,1.9791932150765204,,RandomForest,C,5,1
0.017664919180155225,0.017664919180155225,1.924084182139594,,GradientBoosting,C,5,1
0.062274694979952194,0.062274694979952194,6.8431955293338715,,LinearRegression,D,5,1
0.05509903480108658,0.05509903480108658,6.054681901578003,,Ridge,D,5,1
0.0031730134041890734,0.0031730134041890734,0.3486737453961558,,RandomForest,D,5,1
0.002882811085929915,0.002882811085929915,0.316784208120177,,GradientBoosting,D,5,1
0.018296710011312167,0.018296710011312167,2.045049777656354,,LinearRegression,E,5,1
0.017282200303283646,0.017282200303283646,1.9316565582441638,,Ridge,E,5,1
0.005633996197997315,0.005633996197997315,0.6297199149414106,,RandomForest,E,5,1
0.001951407022069862,0.001951407022069862,0.21811158913999867,,GradientBoosting,E,5,1
0.012859209313964559,0.012859209313964559,1.4421947965560713,,LinearRegression,F,5,1
0.01337767238887877,0.01337767238887877,1.500341820264266,,Ridge,F,5,1
0.009704696128460255,0.009704696128460255,1.0884076864215981,,RandomForest,F,5,1
0.0035494671170347436,0.0035494671170347436,0.3980822523182156,,GradientBoosting,F,5,1
