model,mae,rmse,mape,r2
GradientBoosting,0.007256576977414812,0.007256576977414812,0.7991414069251599,
RandomForest,0.00892668129443632,0.00892668129443632,0.9863032459629002,
Ridge,0.04157227500534131,0.04157227500534131,4.605408143610522,
LinearRegression,0.04393544890832152,0.04393544890832152,4.866122643399384,
