mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.008552973316078405,0.008661223491716956,0.9390978134844515,0.0,GradientBoosting,A,20,4
0.015419441798280448,0.01601271296690938,1.7210892218788922,0.0,GradientBoosting,B,20,4
0.0151623771696891,0.01673805611067172,1.6515043051318927,0.0,GradientBoosting,C,20,4
0.006956103147497311,0.007219115384037227,0.7643871074095689,0.0,GradientBoosting,D,20,4
0.014172605803731142,0.015781962792318686,1.5840926773071227,0.0,GradientBoosting,E,20,4
0.003493567760736477,0.0035097332413434055,0.3918129896586019,0.0,GradientBoosting,F,20,4
