model,mae,rmse,mape,r2
RandomForest,0.010259798742770757,0.010784723121277406,1.1356305859309732,0.0
GradientBoosting,0.010626178166002148,0.011320467331166229,1.175330685811755,0.0
LinearRegression,0.013203740855140278,0.015497043712196444,1.4600660633683666,0.0
Ridge,0.014306130246162068,0.015579478095389988,1.5772761820863161,0.0
