mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.009879047765330273,0.01151425297123051,1.084697895442969,0.0,GradientBoosting,A,20,4
0.014595128193608337,0.014595887114547002,1.6290808807852788,0.0,GradientBoosting,B,20,4
0.01859347296789743,0.019810988407679076,2.025223374288724,0.0,GradientBoosting,C,20,4
0.014111620688005644,0.014111620688005644,1.5506873158496155,0.0,GradientBoosting,D,20,4
0.0018103542136355955,0.0019415726626335686,0.20234591245014805,0.0,GradientBoosting,E,20,4
0.00413747169137571,0.004146575756393602,0.46402854160870866,0.0,GradientBoosting,F,20,4
