mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.0049407514637610835,0.007125256875423679,0.5396010223951478,0.814923733819417,LinearRegression,A,50,10
0.005970305971827339,0.007682031365516432,0.6479439171583582,0.7848695777844445,Ridge,A,50,10
0.005910028316101856,0.0074560378706964555,0.6437774092894752,0.7973410034626184,RandomForest,A,50,10
0.00517021413976052,0.006514253397546224,0.562243241376344,0.8453040393374879,GradientBoosting,A,50,10
0.004609845752521114,0.006173031248402783,0.5052401488402879,0.9087518588099073,LinearRegression,B,50,10
0.009015329038421782,0.009541479011204406,0.9861698703800593,0.781999005904848,Ridge,B,50,10
0.003565026915933933,0.0040505458417582,0.390763178970121,0.9607125194805334,RandomForest,B,50,10
0.004355400776250806,0.004916515993637032,0.47478383406278574,0.9421182053722468,GradientBoosting,B,50,10
0.014599653690802716,0.015440029386278253,1.5670693059110958,-0.29196859956752585,LinearRegression,C,50,10
0.015065827982470558,0.015818346925765295,1.616626310212602,-0.3560568779335467,Ridge,C,50,10
0.007843058025794792,0.008210591547316516,0.8396337099410216,0.6346537878556088,RandomForest,C,50,10
0.007686173533525365,0.008321210415761567,0.8240520273826389,0.6247430698485221,GradientBoosting,C,50,10
0.0062202794746121,0.0075181163868031,0.6753152727009979,0.8352598612910351,LinearRegression,D,50,10
0.010652342792712832,0.012737078736211925,1.1497910449414783,0.5271526004864457,Ridge,D,50,10
0.004106974836356259,0.004947100322978346,0.43589957276928026,0.9286682673595679,RandomForest,D,50,10
0.0038884478061215976,0.004035101522933296,0.41606476566388084,0.952544093901295,GradientBoosting,D,50,10
0.00551148399833683,0.0062438721326624645,0.6021426176166302,0.862280201272489,LinearRegression,E,50,10
0.0026904957220076466,0.0031320284071964803,0.2926801147796523,0.9653470858298412,Ridge,E,50,10
0.006073615785600406,0.007824306855267724,0.6658282045789881,0.7837380439448893,RandomForest,E,50,10
0.004859342825757129,0.006611167307270557,0.5346425005240114,0.8456009322220955,GradientBoosting,E,50,10
0.007001762907973663,0.007931185977083198,0.7717272002591304,0.8095835384805802,LinearRegression,F,50,10
0.0031749180514120566,0.0036231570861194984,0.3452311584682295,0.9602623161138529,Ridge,F,50,10
0.006578993023426893,0.007071826392271978,0.7205371757659862,0.848612016502749,RandomForest,F,50,10
0.006987428826703368,0.007857119572928293,0.7692346432620232,0.8131233896791537,GradientBoosting,F,50,10
