model,mae,rmse,mape,r2
GradientBoosting,0.002267886378189982,0.0026194373429128484,0.24361297231321513,0.9859803334567312
LinearRegression,0.002585754322621211,0.003135990425502999,0.27958628326032625,0.9816090570999109
RandomForest,0.0028258060866583963,0.0033136165654259185,0.30303938015099635,0.9759059884341857
Ridge,0.0028552541299441494,0.0034171691042064654,0.3067712729302908,0.9738611805414402
