mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.001585805912421051,0.0022541679891250523,0.17128060609676501,0.9898617169267433,LinearRegression,A,60,12
0.0016741846191464054,0.002369255535642554,0.18018511388154945,0.9888000608086114,Ridge,A,60,12
0.001694929584785676,0.00233126678410319,0.1831181469569974,0.9891563420830025,RandomForest,A,60,12
0.001630749086940747,0.0020208357270158164,0.17536482411324553,0.9918519463604116,GradientBoosting,A,60,12
0.0034810052980228656,0.0049371051351992995,0.38338733907681866,0.9664996185801012,LinearRegression,B,60,12
0.003183466531172028,0.003752428805009824,0.34565843156291254,0.9806478187554645,Ridge,B,60,12
0.0028886418872684874,0.003188522808107452,0.3108589329117666,0.9860271802576634,RandomForest,B,60,12
0.0025481078529457266,0.002877859462763682,0.27377060403208814,0.9886173295024596,GradientBoosting,B,60,12
0.0017300272474273053,0.0019023029149138595,0.18324412687416824,0.9897348937923672,LinearRegression,C,60,12
0.0038301988201521384,0.00406747502484394,0.4078554681991863,0.9530696394999504,Ridge,C,60,12
0.004327267312886481,0.004768102771390262,0.4616844901797926,0.9355095636309348,RandomForest,C,60,12
0.002805177232175817,0.0032484936764661174,0.29884714392232825,0.9700657658266595,GradientBoosting,C,60,12
0.002711618796591283,0.00320554897645297,0.289634498133803,0.9805860139017664,LinearRegression,D,60,12
0.004691048798602104,0.005463219353978132,0.5009807709788758,0.9436093426288192,Ridge,D,60,12
0.0029178397481856486,0.0035385992758520425,0.3094210565817872,0.9763422929602461,RandomForest,D,60,12
0.0024750763102969844,0.002857049695874161,0.26286837411326486,0.9845778305662368,GradientBoosting,D,60,12
0.003183086457102515,0.003330533793500087,0.34425845164362345,0.9788922311709982,LinearRegression,E,60,12
0.0023577931397778993,0.0030786837671824612,0.25414368068464305,0.9819638099216631,Ridge,E,60,12
0.002406548040315306,0.0028862871832278057,0.25769059600029726,0.9841476474741471,RandomForest,E,60,12
0.0019586639260205465,0.0023300049062547996,0.21156126200505077,0.9896693342299583,GradientBoosting,E,60,12
0.002822982224162246,0.003186283743826725,0.3057126777367794,0.9840798682274886,LinearRegression,F,60,12
0.001394832870814322,0.0017719521385818812,0.15180417227457768,0.9950764116341324,Ridge,F,60,12
0.002719609946508781,0.003168920569874758,0.29546305827533703,0.9842529041991207,RandomForest,F,60,12
0.0021895438607600717,0.0023823805891025154,0.23926562569331344,0.9910997942546618,GradientBoosting,F,60,12
